date;region;mask_mandate;contact_restrictions;restaurants;retail_trade;schools;day_care;cultural_facilities;hotels
19.09.20;Berlin;moderate;light;open;open;open;open;open;open
20.09.20;Berlin;moderate;light;open;open;open;open;open;open
21.09.20;Berlin;moderate;light;open;open;open;open;open;open
22.09.20;Berlin;moderate;light;open;open;open;open;open;open
23.09.20;Berlin;moderate;light;open;open;open;open;open;open
24.09.20;Berlin;moderate;light;open;open;open;open;open;open
25.09.20;Berlin;moderate;light;open;open;open;open;open;open
26.09.20;Berlin;moderate;light;open;open;open;open;open;open
27.09.20;Berlin;moderate;light;open;open;open;open;open;open
28.09.20;Berlin;moderate;light;open;open;open;open;open;open
29.09.20;Berlin;moderate;light;open;open;open;open;open;open
30.09.20;Berlin;moderate;light;open;open;open;open;open;open
01.10.20;Berlin;moderate;light;open;open;open;open;open;open
02.10.20;Berlin;moderate;light;open;open;open;open;open;open
03.10.20;Berlin;moderate;light;open;open;open;open;open;open
04.10.20;Berlin;moderate;light;open;open;open;open;open;open
05.10.20;Berlin;moderate;light;open;open;open;open;open;open
06.10.20;Berlin;moderate;light;open;open;open;open;open;open
07.10.20;Berlin;moderate;light;open;open;open;open;open;open
08.10.20;Berlin;moderate;light;open;open;open;open;open;open
09.10.20;Berlin;moderate;light;open;open;open;open;open;open
10.10.20;Berlin;moderate;light;open;open;open;open;open;open
11.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
12.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
13.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
14.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
15.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
16.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
17.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
18.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
19.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
20.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
21.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
22.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
23.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
24.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
25.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
26.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
27.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
28.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
29.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
30.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
31.10.20;Berlin;moderate;moderate;open;open;open;open;open;open
01.11.20;Berlin;moderate;moderate;open;open;open;open;open;open
02.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
03.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
04.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
05.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
06.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
07.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
08.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
09.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
10.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
11.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
12.11.20;Berlin;moderate;strict;closed;open;open;open;open;closed
