date;region;mask_mandate;contact_restrictions;restaurants;retail_trade;schools;day_care;cultural_facilities;hotels
2021-02-18;Berlin;3;3;2;2;2;2;2;2
2021-02-19;Berlin;3;3;2;2;2;2;2;2
2021-02-20;Berlin;3;3;2;2;2;2;2;2
2021-02-21;Berlin;3;3;2;2;2;2;2;2
2021-02-22;Berlin;3;3;2;2;1;2;2;2
2021-02-23;Berlin;3;3;2;2;1;2;2;2
2021-02-24;Berlin;3;3;2;2;1;2;2;2
2021-02-25;Berlin;3;3;2;2;1;2;2;2
2021-02-26;Berlin;3;3;2;2;1;2;2;2
2021-02-27;Berlin;3;3;2;2;1;2;2;2
2021-02-28;Berlin;3;3;2;2;1;2;2;2
2021-03-01;Berlin;3;3;2;2;1;2;2;2
2021-03-02;Berlin;3;3;2;2;1;2;2;2
2021-03-03;Berlin;3;3;2;2;1;2;2;2
2021-03-04;Berlin;3;3;2;2;1;2;2;2
2021-03-05;Berlin;3;3;2;2;1;2;2;2
2021-03-06;Berlin;3;3;2;2;1;2;2;2
2021-03-07;Berlin;3;3;2;2;1;2;2;2
2021-03-08;Berlin;3;3;2;1;1;0;2;2
2021-03-09;Berlin;3;3;2;1;1;0;2;2
2021-03-10;Berlin;3;3;2;1;1;0;2;2
2021-03-11;Berlin;3;3;2;1;1;0;2;2
2021-03-12;Berlin;3;3;2;1;1;0;2;2
2021-03-13;Berlin;3;3;2;1;1;0;2;2
2021-03-14;Berlin;3;3;2;1;1;0;2;2
2021-03-15;Berlin;3;3;2;1;1;0;2;2
2021-03-16;Berlin;3;3;2;1;1;0;2;2
2021-03-17;Berlin;3;3;2;1;1;0;2;2
2021-03-18;Berlin;3;3;2;1;1;0;2;2
2021-03-19;Berlin;3;3;2;1;1;0;2;2
2021-03-20;Berlin;3;3;2;1;1;0;2;2
2021-03-21;Berlin;3;3;2;1;1;0;2;2
2021-03-22;Berlin;3;3;2;1;1;0;2;2
2021-03-23;Berlin;3;3;2;1;1;0;2;2
2021-03-24;Berlin;3;3;2;1;1;0;2;2
2021-03-25;Berlin;3;3;2;1;1;0;2;2
2021-03-26;Berlin;3;3;2;1;1;0;2;2
2021-03-27;Berlin;3;3;2;1;1;0;2;2
2021-03-28;Berlin;3;3;2;1;1;0;2;2
2021-03-29;Berlin;3;3;2;1;2;0;2;2
2021-03-30;Berlin;3;3;2;1;2;0;2;2
2021-03-31;Berlin;3;3;2;1;2;0;2;2
2021-04-01;Berlin;3;3;2;1;2;0;2;2
2021-04-02;Berlin;3;3;2;1;2;0;2;2
2021-04-03;Berlin;3;3;2;1;2;0;2;2
2021-04-04;Berlin;3;3;2;1;2;0;2;2
2021-04-05;Berlin;3;3;2;1;2;0;2;2
2021-04-06;Berlin;3;3;2;1;2;0;2;2
2021-04-07;Berlin;3;3;2;1;2;0;2;2
2021-04-08;Berlin;3;3;2;1;2;2;2;2
2021-04-09;Berlin;3;3;2;1;2;2;2;2
2021-04-10;Berlin;3;3;2;1;2;2;2;2
2021-04-11;Berlin;3;3;2;1;2;2;2;2
2021-04-12;Berlin;3;3;2;1;1;2;2;2
2021-04-13;Berlin;3;3;2;1;1;2;2;2
2021-04-14;Berlin;3;3;2;1;1;2;2;2
2021-04-15;Berlin;3;3;2;1;1;2;2;2
2021-04-16;Berlin;3;3;2;1;1;2;2;2
2021-04-17;Berlin;3;3;2;1;1;2;2;2
2021-04-18;Berlin;3;3;2;1;1;2;2;2
2021-04-19;Berlin;3;3;2;1;1;2;2;2
2021-04-20;Berlin;3;3;2;1;1;2;2;2
2021-04-21;Berlin;3;3;2;1;1;2;2;2
2021-04-22;Berlin;3;3;2;1;1;2;2;2
2021-04-23;Berlin;3;3;2;1;1;2;2;2
2021-04-24;Berlin;3;3;2;2;1;2;2;2
2021-04-25;Berlin;3;3;2;2;1;2;2;2
2021-04-26;Berlin;3;3;2;2;1;2;2;2
2021-04-27;Berlin;3;3;2;2;1;2;2;2
2021-04-28;Berlin;3;3;2;2;1;2;2;2
2021-04-29;Berlin;3;3;2;2;1;2;2;2
2021-04-30;Berlin;3;3;2;2;1;2;2;2
2021-05-01;Berlin;3;3;2;2;1;2;2;2
2021-05-02;Berlin;3;3;2;2;1;2;2;2
2021-05-03;Berlin;3;3;2;2;1;2;2;2
2021-05-04;Berlin;3;3;2;2;1;2;2;2
2021-05-05;Berlin;3;3;2;2;1;2;2;2
2021-05-06;Berlin;3;3;2;2;1;2;2;2
2021-05-07;Berlin;3;3;2;2;1;2;2;2
2021-05-08;Berlin;3;3;2;2;1;2;2;2
2021-05-09;Berlin;3;3;2;2;1;2;2;2
2021-05-10;Berlin;3;3;2;2;1;2;2;2
2021-05-11;Berlin;3;3;2;2;1;2;2;2
2021-05-12;Berlin;3;3;2;2;1;2;2;2
2021-05-13;Berlin;3;3;2;2;1;2;2;2
2021-05-14;Berlin;3;3;2;2;1;2;2;2
2021-05-15;Berlin;3;3;2;2;1;2;2;2
2021-05-16;Berlin;3;3;2;2;1;2;2;2
2021-05-17;Berlin;3;3;2;2;1;2;2;2
2021-05-18;Berlin;3;3;2;2;1;2;2;2
2021-05-19;Berlin;3;3;2;1;1;0;2;2
2021-05-20;Berlin;3;3;2;1;1;0;2;2
2021-05-21;Berlin;3;3;0;1;1;0;2;2
2021-05-22;Berlin;3;3;0;1;1;0;0;2
2021-05-23;Berlin;3;3;0;1;1;0;0;2
2021-05-24;Berlin;3;3;0;1;1;0;0;2
2021-05-25;Berlin;3;3;0;1;1;0;0;2
2021-05-26;Berlin;3;3;0;1;1;0;0;2
2020-03-09;Zurich;0;0;0;0;0;0;0;0
2020-03-10;Zurich;0;0;0;0;0;0;0;0
2020-03-11;Zurich;0;0;0;0;0;0;0;0
2020-03-12;Zurich;0;0;0;0;0;0;0;0
2020-03-13;Zurich;0;0;0;0;0;0;0;0
2020-03-14;Zurich;0;0;0;0;0;0;0;0
2020-03-15;Zurich;0;0;0;0;0;0;0;0
2020-03-16;Zurich;0;0;2;2;0;0;2;2
2020-03-17;Zurich;0;0;2;2;2;0;2;2
2020-03-18;Zurich;0;0;2;2;2;0;2;2
2020-03-19;Zurich;0;0;2;2;2;0;2;2
2020-03-20;Zurich;0;3;2;2;2;0;2;2
2020-03-21;Zurich;0;3;2;2;2;0;2;2
